Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,2,0.3,0,3
100,1,80.0,66,9.9,20,80
2,2,1.0,1,0.1,1,1
3,2,2.0,2,0.3,1,2
100,2,91.0,66,9.9,9,91
2,3,2.0,1,0.1,0,2
3,3,3.0,2,0.3,0,3
100,3,86.0,66,9.9,14,86
2,4,2.0,1,0.1,0,2
3,4,3.0,2,0.3,0,3
100,4,82.0,66,9.9,18,82
2,5,2.0,1,0.1,0,2
3,5,2.0,2,0.3,1,2
100,5,76.0,66,9.9,24,76
2,6,1.0,1,0.1,1,1
3,6,1.0,2,0.3,2,1
100,6,79.0,66,9.9,21,79
2,7,1.0,1,0.1,1,1
3,7,2.0,2,0.3,1,2
100,7,80.0,66,9.9,20,80
2,8,2.0,1,0.1,0,2
3,8,3.0,2,0.3,0,3
100,8,91.0,66,9.9,9,91
2,9,1.0,1,0.1,1,1
3,9,1.0,2,0.3,2,1
100,9,82.0,66,9.9,18,82
2,10,1.0,1,0.1,1,1
3,10,2.0,2,0.3,1,2
100,10,81.0,66,9.9,19,81
2,11,2.0,1,0.1,0,2
3,11,3.0,2,0.3,0,3
100,11,82.0,66,9.9,18,82
2,12,1.0,1,0.1,1,1
3,12,2.0,2,0.3,1,2
100,12,84.0,66,9.9,16,84
2,13,2.0,1,0.1,0,2
3,13,3.0,2,0.3,0,3
100,13,74.0,66,9.9,26,74
2,14,2.0,1,0.1,0,2
3,14,3.0,2,0.3,0,3
100,14,83.0,66,9.9,17,83
2,15,2.0,1,0.1,0,2
3,15,3.0,2,0.3,0,3
100,15,83.0,66,9.9,17,83
2,16,2.0,1,0.1,0,2
3,16,2.0,2,0.3,1,2
100,16,77.0,66,9.9,23,77
2,17,2.0,1,0.1,0,2
3,17,3.0,2,0.3,0,3
100,17,82.0,66,9.9,18,82
2,18,2.0,1,0.1,0,2
3,18,3.0,2,0.3,0,3
100,18,88.0,66,9.9,12,88
2,19,2.0,1,0.1,0,2
3,19,3.0,2,0.3,0,3
