Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.1,1,1
3,1,2.0,2,0.3,1,2
100,1,80.0,43,6.6,20,80
200,1,165.0,81,12.7,35,165
2000,1,1747.0,330,42.8,253,1747
10000,1,8938.0,412,54.1,1062,8938
20000,1,17947.0,415,54.4,2053,17947
40000,1,35895.0,458,59.4,4105,35895
60000,1,53911.0,458,59.4,6089,53911
80000,1,71833.0,460,59.7,8167,71833
100000,1,89836.0,460,59.7,10164,89836
200000,1,179925.0,465,60.2,20075,179925
400000,1,359989.0,474,61.1,40011,359989
600000,1,539797.0,474,61.1,60203,539797
800000,1,719769.0,476,61.3,80231,719769
1000000,1,899714.0,476,61.3,100286,899714
2,2,2.0,1,0.1,0,2
3,2,2.0,2,0.3,1,2
100,2,77.0,50,6.4,23,77
200,2,161.0,91,12.0,39,161
2000,2,1772.0,336,43.5,228,1772
10000,2,8965.0,503,63.1,1035,8965
20000,2,17894.0,669,80.1,2106,17894
40000,2,35882.0,672,80.4,4118,35882
60000,2,53936.0,674,80.7,6064,53936
80000,2,71860.0,706,83.9,8140,71860
100000,2,89842.0,707,84.0,10158,89842
200000,2,179803.0,722,85.5,20197,179803
400000,2,359530.0,738,87.2,40470,359530
600000,2,539397.0,742,87.6,60603,539397
800000,2,719489.0,742,87.6,80511,719489
1000000,2,899341.0,742,87.6,100659,899341
2,3,2.0,1,0.1,0,2
3,3,2.0,2,0.3,1,2
100,3,85.0,52,7.2,15,85
200,3,167.0,106,15.1,33,167
2000,3,1753.0,374,45.6,247,1753
10000,3,8923.0,589,71.8,1077,8923
20000,3,17901.0,601,73.1,2099,17901
40000,3,35879.0,607,73.7,4121,35879
60000,3,53963.0,610,74.0,6037,53963
80000,3,71945.0,611,74.1,8055,71945
100000,3,89992.0,611,74.1,10008,89992
200000,3,179935.0,620,75.1,20065,179935
400000,3,360034.0,622,75.3,39966,360034
600000,3,540142.0,623,75.4,59858,540142
800000,3,720186.0,623,75.4,79814,720186
1000000,3,900064.0,623,75.4,99936,900064
2,4,2.0,1,0.1,0,2
3,4,3.0,2,0.3,0,3
100,4,81.0,41,6.0,19,81
200,4,169.0,73,9.7,31,169
2000,4,1755.0,230,31.2,245,1755
10000,4,8911.0,402,49.4,1089,8911
20000,4,17920.0,431,52.3,2080,17920
40000,4,35923.0,434,52.8,4077,35923
60000,4,53941.0,436,53.0,6059,53941
80000,4,71905.0,439,53.3,8095,71905
