Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,2,0.3,0,3
100,1,80.0,65,9.8,20,80
200,1,157.0,123,18.6,43,157
2000,1,1696.0,594,84.0,304,1696
10000,1,8842.0,842,117.6,1158,8842
20000,1,17750.0,939,131.0,2250,17750
40000,1,35812.0,955,132.6,4188,35812
60000,1,53854.0,962,133.7,6146,53854
80000,1,71782.0,979,136.7,8218,71782
100000,1,89773.0,987,137.7,10227,89773
200000,1,179725.0,992,138.3,20275,179725
400000,1,359659.0,993,138.4,40341,359659
600000,1,539819.0,993,138.4,60181,539819
800000,1,719956.0,993,138.4,80044,719956
1000000,1,899956.0,994,138.6,100044,899956
2,2,2.0,1,0.1,0,2
3,2,2.0,2,0.3,1,2
100,2,85.0,66,9.9,15,85
200,2,171.0,129,19.3,29,171
2000,2,1717.0,787,105.7,283,1717
10000,2,8865.0,1239,159.7,1135,8865
20000,2,17862.0,1350,172.8,2138,17862
40000,2,35871.0,1417,179.8,4129,35871
60000,2,53853.0,1461,184.8,6147,53853
80000,2,71901.0,1464,185.1,8099,71901
100000,2,89867.0,1479,186.7,10133,89867
200000,2,179901.0,1528,191.8,20099,179901
400000,2,359698.0,1567,195.8,40302,359698
600000,2,539666.0,1571,196.2,60334,539666
800000,2,719467.0,1582,197.5,80533,719467
1000000,2,899244.0,1582,197.5,100756,899244
2,3,2.0,1,0.1,0,2
3,3,2.0,2,0.3,1,2
100,3,81.0,65,9.6,19,81
200,3,165.0,124,18.0,35,165
2000,3,1720.0,725,103.7,280,1720
10000,3,8864.0,1250,173.2,1136,8864
20000,3,17854.0,1369,187.8,2146,17854
40000,3,35883.0,1510,203.8,4117,35883
60000,3,53841.0,1570,210.5,6159,53841
80000,3,71825.0,1584,212.1,8175,71825
100000,3,89786.0,1619,215.7,10214,89786
200000,3,179922.0,1627,216.6,20078,179922
400000,3,360021.0,1649,219.0,39979,360021
600000,3,540043.0,1651,219.2,59957,540043
800000,3,720143.0,1657,219.8,79857,720143
